EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:52 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,MortFleetGroup

timestep,fleet,group,value
108,1,22,0.08660508
108,2,7,0.0001891398
108,3,15,0.0003369485
108,3,20,0.0001545894
108,3,41,0.03451179
108,3,45,0.005274914
109,1,22,0.08660508
109,2,7,0.0001891398
109,3,15,0.0003369485
109,3,20,0.0001545894
109,3,41,0.03451179
109,3,45,0.005274914
110,1,22,0.08660508
110,2,7,0.0001891398
110,3,15,0.0003369485
110,3,20,0.0001545894
110,3,41,0.03451179
110,3,45,0.005274914
111,1,22,0.08660508
111,2,7,0.0001891398
111,3,15,0.0003369485
111,3,20,0.0001545894
111,3,41,0.03451179
111,3,45,0.005274914
112,1,22,0.08660508
112,2,7,0.0001891398
112,3,15,0.0003369485
112,3,20,0.0001545894
112,3,41,0.03451179
112,3,45,0.005274914
113,1,22,0.08660508
113,2,7,0.0001891398
113,3,15,0.0003369485
113,3,20,0.0001545894
113,3,41,0.03451179
113,3,45,0.005274914
114,1,22,0.08660508
114,2,7,0.0001891398
114,3,15,0.0003369485
114,3,20,0.0001545894
114,3,41,0.03451179
114,3,45,0.005274914
115,1,22,0.08660508
115,2,7,0.0001891398
115,3,15,0.0003369485
115,3,20,0.0001545894
115,3,41,0.03451179
115,3,45,0.005274914
116,1,22,0.08660508
116,2,7,0.0001891398
116,3,15,0.0003369485
116,3,20,0.0001545894
116,3,41,0.03451179
116,3,45,0.005274914
117,1,22,0.08660508
117,2,7,0.0001891398
117,3,15,0.0003369485
117,3,20,0.0001545894
117,3,41,0.03451179
117,3,45,0.005274914
118,1,22,0.08660508
118,2,7,0.0001891398
118,3,15,0.0003369485
118,3,20,0.0001545894
118,3,41,0.03451179
118,3,45,0.005274914
119,1,22,0.08660508
119,2,7,0.0001891398
119,3,15,0.0003369485
119,3,20,0.0001545894
119,3,41,0.03451179
119,3,45,0.005274914
120,1,22,0.08660508
120,2,7,0.0001891398
120,3,15,0.0003369485
120,3,20,0.0001545894
120,3,41,0.03451179
120,3,45,0.005274914
121,1,22,0.08660508
121,2,7,0.0001891398
121,3,15,0.0003369485
121,3,20,0.0001545894
121,3,41,0.03451179
121,3,45,0.005274914
122,1,22,0.08660508
122,2,7,0.0001891398
122,3,15,0.0003369485
122,3,20,0.0001545894
122,3,41,0.03451179
122,3,45,0.005274914
123,1,22,0.08660508
123,2,7,0.0001891398
123,3,15,0.0003369485
123,3,20,0.0001545894
123,3,41,0.03451179
123,3,45,0.005274914
124,1,22,0.08660508
124,2,7,0.0001891398
124,3,15,0.0003369485
124,3,20,0.0001545894
124,3,41,0.03451179
124,3,45,0.005274914
125,1,22,0.08660508
125,2,7,0.0001891398
125,3,15,0.0003369485
125,3,20,0.0001545894
125,3,41,0.03451179
125,3,45,0.005274914
126,1,22,0.08660508
126,2,7,0.0001891398
126,3,15,0.0003369485
126,3,20,0.0001545894
126,3,41,0.03451179
126,3,45,0.005274914
127,1,22,0.08660508
127,2,7,0.0001891398
127,3,15,0.0003369485
